Brand Name,Generic Name,Number of Manufacturers,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit (Weighted),Average Spending Per Claim,Average Spending Per Beneficiary
Relion Pen Needles ,"Pen Needle, Diabetic ",1,"$396,598.27","2,202,332","21,531","10,845",$0.18,$18.42,$36.57
Relistor ,Methylnaltrexone Bromide ,1,"$33,015,924.10","190,836","19,608","5,296",$176.43,"$1,683.80","$6,234.12"
Relnate DHA ,PNV 11/Iron Fum/Folic Acid/Om3 ,1,"$7,582.47","2,310",61,11,$3.28,$124.30,$689.32
Relpax ,Eletriptan HBr ,1,"$35,512,658.23","780,762","63,495","14,927",$45.49,$559.30,"$2,379.09"
Remeron ,Mirtazapine ,1,"$1,081,147.76","209,155","4,512",905,$5.17,$239.62,"$1,194.64"
Remeven ,Urea ,1,"$1,149.60","8,804",58,53,$0.13,$19.82,$21.69
Remicade ,Infliximab ,1,"$68,074,955.32","83,808","12,097","2,407",$812.27,"$5,627.42","$28,282.08"
Remodulin ,Treprostinil Sodium ,1,"$2,255,207.10","3,480",111,15,$648.05,"$20,317.18","$150,347.14"
Rena-Vite Rx ,Vit B Cmplx 3/Folic Ac/C/Biot ,1,"$1,810.04","7,226",135,44,$0.25,$13.41,$41.14
Renacidin ,Citric Ac/Gluconolact/Mag Carb ,1,"$343,855.02","4,630,060","4,723","1,107",$0.07,$72.80,$310.62
Renagel ,Sevelamer HCl ,1,"$59,732,922.97","8,805,802","42,089","10,649",$6.76,"$1,419.21","$5,609.25"
Renal Caps ,B Complex W-C No.20/Folic Acid ,1,"$17,504.99","39,152",990,239,$0.45,$17.68,$73.24
Reno Caps ,B Complex W-C No.20/Folic Acid ,1,"$8,905.81","39,404","1,081",206,$0.23,$8.24,$43.23
Renvela ,Sevelamer Carbonate ,1,"$1,462,813,859.80","253,245,602","1,024,841","193,432",$6.05,"$1,427.36","$7,562.42"
Repaglinide ,Repaglinide ,6,"$21,137,280.45","43,345,021","321,953","68,048",$0.49,$65.65,$310.62
Repatha Sureclick ,Evolocumab ,1,"$54,636,195.41","99,697","43,272","8,522",$548.02,"$1,262.62","$6,411.19"
Reprexain ,Hydrocodone/Ibuprofen ,1,"$28,942.83","7,882",60,12,$3.67,$482.38,"$2,411.90"
Requip ,Ropinirole HCl ,1,"$1,868,653.48","353,793","3,281",610,$5.29,$569.54,"$3,063.37"
Requip XL ,Ropinirole HCl ,1,"$1,849,279.00","183,618","2,895",501,$10.80,$638.78,"$3,691.18"
Rescriptor ,Delavirdine Mesylate ,1,"$118,452.36","51,356",270,34,$2.31,$438.71,"$3,483.89"
Restasis ,Cyclosporine ,1,"$949,331,114.91","134,860,680","1,642,166","574,222",$7.04,$578.10,"$1,653.25"
Restoril ,Temazepam ,1,"$1,302,701.89","65,589","1,429",310,$19.86,$911.62,"$4,202.26"
Retin-A ,Tretinoin ,1,"$905,967.88","523,144","15,353","8,702",$1.72,$59.01,$104.11
Retin-A Micro ,Tretinoin Microspheres ,1,"$297,368.43","23,600",534,256,$12.60,$556.87,"$1,161.60"
Retin-A Micro Pump ,Tretinoin Microspheres ,1,"$504,915.59","28,200",527,337,$17.92,$958.09,"$1,498.27"
Revatio ,Sildenafil Citrate ,1,"$17,917,730.39","513,101","3,649",562,$34.92,"$4,910.31","$31,882.08"
Revlimid ,Lenalidomide ,1,"$2,661,602,600.00","4,896,215","239,093","35,376",$543.59,"$11,132.08","$75,237.52"
Rexulti ,Brexpiprazole ,1,"$78,947,810.20","2,533,959","83,476","19,450",$31.16,$945.75,"$4,059.01"
Reyataz ,Atazanavir Sulfate ,1,"$193,806,912.61","4,984,081","137,695","16,918",$41.78,"$1,407.51","$11,455.66"
Rheumatrex ,Methotrexate Sodium ,1,"$106,641.74","10,649",356,101,$10.01,$299.56,"$1,055.86"
Rhinocort Aqua ,Budesonide ,1,"$134,258.41","7,938",701,465,$16.91,$191.52,$288.73
Ribasphere ,Ribavirin ,1,"$1,600,432.19","1,222,679","8,829","3,068",$1.48,$181.27,$521.65
Ribasphere Ribapak ,Ribavirin ,1,"$4,018,229.70","130,592","2,278",800,$31.13,"$1,763.93","$5,022.79"
Ribavirin ,Ribavirin ,3,"$3,980,055.73","2,984,670","21,835","7,761",$1.33,$182.28,$512.83
Ridaura ,Auranofin ,1,"$2,070,179.49","106,156","1,463",273,$19.50,"$1,415.02","$7,583.08"
Rifabutin ,Rifabutin ,2,"$5,122,680.19","415,613","8,395","2,619",$12.33,$610.21,"$1,955.97"
Rifadin ,Rifampin ,1,"$26,213.53","20,324",54,12,$1.29,$485.44,"$2,184.46"
Rifampin ,Rifampin ,6,"$5,392,013.06","5,100,810","97,202","37,288",$1.05,$55.47,$144.60
Rilutek ,Riluzole ,1,"$404,190.86","10,782",151,35,$37.49,"$2,676.76","$11,548.31"
Riluzole ,Riluzole ,6,"$6,325,556.93","1,949,801","26,457","5,433",$3.25,$239.09,"$1,164.28"
Rimantadine HCl ,Rimantadine HCl ,1,"$247,845.79","122,803","1,997",901,$2.02,$124.11,$275.08
Rimso-50 ,Dimethyl Sulfoxide ,1,"$1,085,072.73","96,684",961,312,$11.22,"$1,129.11","$3,477.80"
Riomet ,Metformin HCl ,1,"$3,878,641.75","2,965,270","6,505","1,586",$1.31,$596.26,"$2,445.55"
Risedronate Sodium ,Risedronate Sodium ,5,"$60,856,145.74","1,213,359","284,362","72,197",$84.36,$214.01,$842.92
Risedronate Sodium Dr ,Risedronate Sodium ,2,"$14,734,874.75","408,293","66,467","15,772",$36.12,$221.69,$934.24
Risperdal ,Risperidone ,1,"$10,983,624.77","790,908","12,880","1,770",$14.38,$852.77,"$6,205.44"
Risperdal Consta ,Risperidone Microspheres ,1,"$263,307,989.44","410,592","273,805","24,100",$636.73,$961.66,"$10,925.64"
Risperdal M-Tab ,Risperidone ,1,"$688,129.56","42,147",778,146,$16.36,$884.49,"$4,713.22"
Risperidone ,Risperidone ,18,"$57,468,854.46","212,507,273","4,591,524","585,518",$0.27,$12.52,$98.15
Risperidone ODT ,Risperidone ,8,"$11,709,251.95","3,417,475","79,702","14,637",$3.47,$146.91,$799.98
Ritalin ,Methylphenidate HCl ,1,"$884,254.58","795,425","6,864","1,158",$1.10,$128.82,$763.60
Ritalin La ,Methylphenidate HCl ,1,"$1,879,928.62","224,934","4,418",928,$8.36,$425.52,"$2,025.79"
Rituxan ,Rituximab ,1,"$45,242,671.02","573,781","4,868","1,756",$78.85,"$9,293.89","$25,764.62"
Rivastigmine ,Rivastigmine ,2,"$208,085,660.70","20,138,217","583,487","111,583",$10.34,$356.62,"$1,864.85"
Rivastigmine ,Rivastigmine Tartrate ,9,"$39,065,597.69","23,536,249","367,148","56,858",$1.67,$106.40,$687.07
Rizatriptan ,Rizatriptan Benzoate ,12,"$10,954,007.54","4,238,544","331,693","90,835",$2.58,$33.02,$120.59
Robaxin ,Methocarbamol ,2,"$254,325.82","138,050",246,65,$1.65,"$1,033.84","$3,912.70"
Robaxin-750 ,Methocarbamol ,1,"$96,256.61","48,653",376,116,$1.98,$256.00,$829.80
Rocaltrol ,Calcitriol ,1,"$66,614.21","61,988",854,403,$1.10,$78.00,$165.30
Ropinirole ER ,Ropinirole HCl ,5,"$14,604,654.10","5,287,462","83,478","15,330",$2.88,$174.95,$952.68
Ropinirole HCl ,Ropinirole HCl ,9,"$50,916,314.29","226,069,894","2,941,848","526,488",$0.23,$17.31,$96.71
Rosadan ,Metronidazole ,1,"$23,969.16","10,710",192,142,$2.24,$124.84,$168.80
Rowasa ,Mesalamine W/Cleansing Wipes ,1,"$91,709.04",66,54,21,"$1,389.53","$1,698.32","$4,367.10"
Roxicodone ,Oxycodone HCl ,1,"$3,751,296.68","461,821","3,139",438,$7.98,"$1,195.06","$8,564.60"
Rozerem ,Ramelteon ,1,"$69,041,576.61","6,192,103","218,053","56,099",$11.15,$316.63,"$1,230.71"
Ruconest ,"C1 Esterase Inhibitor, Recomb ",1,"$8,726,347.14","1,500",145,20,"$5,817.56","$60,181.70","$436,317.36"
Rytary ,Carbidopa/Levodopa ,1,"$45,102,111.71","18,297,986","70,136","11,292",$2.47,$643.07,"$3,994.17"
Rythmol ,Propafenone HCl ,1,"$397,229.51","57,059",429,108,$7.16,$925.94,"$3,678.05"
Rythmol SR ,Propafenone HCl ,1,"$4,632,520.56","393,102","4,094",721,$11.74,"$1,131.54","$6,425.13"
Sabril ,Vigabatrin ,1,"$33,589,011.48","298,379","1,817",195,$112.58,"$18,485.97","$172,251.34"
Safetyglide Insulin Syringe ,"Syring-Needl,Disp,Insul,0.3 Ml ",2,"$143,705.76","330,539","3,192","1,081",$0.44,$45.02,$132.94
Safetyglide Insulin Syringe ,"Syringe-Needle,Insulin,0.5 Ml ",1,"$71,868.56","177,752","1,698",591,$0.40,$42.33,$121.61
Safyral ,Drospir/Eth Estra/Levomefol Ca ,1,"$12,490.39","2,352",57,16,$5.31,$219.13,$780.65
Saizen ,Somatropin ,1,"$5,612,425.41","7,197","1,143",182,$743.78,"$4,910.26","$30,837.50"
Salagen ,Pilocarpine HCl ,1,"$106,404.10","64,875",419,109,$1.64,$253.95,$976.18
Salicylic Acid ,Salicylic Acid ,4,"$103,372.41","335,963","1,236",823,$0.49,$83.63,$125.60
Salsalate ,Salsalate ,5,"$2,990,409.62","2,339,106","18,231","5,629",$1.28,$164.03,$531.25
Samsca ,Tolvaptan ,1,"$39,676,003.69","108,127","4,931","1,141",$366.64,"$8,046.24","$34,773.01"
Sancuso ,Granisetron ,1,"$9,560,225.71","20,601","7,130","2,767",$464.07,"$1,340.85","$3,455.09"
Sandimmune ,Cyclosporine ,1,"$1,411,594.71","264,587","1,772",341,$6.75,$796.61,"$4,139.57"
Sandostatin ,Octreotide Acetate ,1,"$1,651,996.64","22,476",442,104,$102.04,"$3,737.55","$15,884.58"
Sandostatin Lar ,"Octreotide Acetate,Mi-Spheres ",1,"$1,294,075.08",339,280,84,"$3,869.89","$4,621.70","$15,405.66"
Sandostatin Lar Depot ,"Octreotide Acetate,Mi-Spheres ",1,"$44,975,510.44","11,075","8,978","1,312","$4,081.04","$5,009.52","$34,280.11"
Santyl ,Collagenase Clostridium Hist. ,1,"$72,647,888.35","10,369,326","251,871","122,276",$7.01,$288.43,$594.13
Saphris ,Asenapine Maleate ,2,"$116,301,195.69","7,005,361","150,629","23,774",$16.60,$772.10,"$4,891.95"
Sarafem ,Fluoxetine HCl ,1,"$163,183.67","10,598",180,47,$15.40,$906.58,"$3,471.99"
Savaysa ,Edoxaban Tosylate ,1,"$8,284,136.75","867,004","21,655","5,040",$9.56,$382.55,"$1,643.68"
Savella ,Milnacipran HCl ,1,"$53,971,153.90","11,636,100","154,873","28,419",$4.64,$348.49,"$1,899.12"
Se-Natal 19 ,PNV No.118/Iron Fumarate/FA ,1,"$11,461.48","19,717",432,194,$0.58,$26.53,$59.08
Se-Natal 19 ,PNV119/Iron Fum/Folic/Docusate ,1,"$30,541.33","72,056","1,533",559,$0.42,$19.92,$54.64
Seasonique ,L-Norgest/E.Estradiol-E.Estrad ,1,"$87,540.56","28,560",310,139,$3.07,$282.39,$629.79
Seconal Sodium ,Secobarbital Sodium ,1,"$126,192.63","4,070",94,41,$31.01,"$1,342.47","$3,077.87"
Sectral ,Acebutolol HCl ,1,"$21,948.89","6,013",88,38,$3.65,$249.42,$577.60
Select-Ob + DHA ,Prenatal Vit 33/Iron/Folic/DHA ,1,"$41,177.83","24,900",350,139,$1.65,$117.65,$296.24
Selegiline HCl ,Selegiline HCl ,4,"$7,791,815.26","5,753,731","71,158","13,847",$1.35,$109.50,$562.71
Selenium Sulfide ,Selenium Sulfide ,4,"$1,297,827.83","10,440,320","77,380","37,719",$0.12,$16.77,$34.41
Selzentry ,Maraviroc ,1,"$48,269,795.84","2,226,342","32,785","3,521",$21.68,"$1,472.31","$13,709.12"
Semprex-D ,Pseudoephedrine HCl/Acrivas ,1,"$692,266.65","180,953","1,911",614,$3.83,$362.25,"$1,127.47"
Sensipar ,Cinacalcet HCl ,1,"$1,225,973,011.30","34,542,678","956,864","148,071",$35.75,"$1,281.24","$8,279.63"
Serevent Diskus ,Salmeterol Xinafoate ,1,"$59,071,917.06","11,054,499","137,612","33,747",$5.34,$429.26,"$1,750.43"
Seroquel ,Quetiapine Fumarate ,1,"$19,202,440.94","1,934,364","30,989","4,708",$10.58,$619.65,"$4,078.68"
Seroquel XR ,Quetiapine Fumarate ,1,"$540,833,939.04","29,424,383","765,478","104,421",$18.24,$706.53,"$5,179.36"
Serostim ,Somatropin ,1,"$92,009,254.94","218,954","7,702",936,$420.26,"$11,946.15","$98,300.49"
Sertraline HCl ,Sertraline HCl ,15,"$105,613,695.29","641,877,689","12,581,655","2,278,068",$0.17,$8.39,$46.36
Sevelamer Carbonate ,Sevelamer Carbonate ,1,"$151,480.60","48,568",419,300,$3.12,$361.53,$504.94
Sf ,Sodium Fluoride ,1,"$160,650.72","1,588,368","24,269","12,050",$0.10,$6.62,$13.33
Sf 5000 Plus ,Sodium Fluoride ,1,"$428,518.73","4,263,415","67,720","34,672",$0.10,$6.33,$12.36
Sharobel ,Norethindrone ,1,"$78,125.85","150,836","3,992","1,012",$0.52,$19.57,$77.20
Signifor ,Pasireotide Diaspartate ,1,"$1,684,209.27","8,100",132,26,$207.92,"$12,759.16","$64,777.28"
Signifor Lar ,Pasireotide Pamoate ,1,"$2,151,763.86",187,183,30,"$11,506.76","$11,758.27","$71,725.46"
Sildenafil ,Sildenafil Citrate ,13,"$35,408,728.93","14,199,280","128,035","27,945",$2.48,$276.56,"$1,267.09"
Silenor ,Doxepin HCl ,1,"$26,541,981.85","2,164,202","67,014","20,061",$12.26,$396.07,"$1,323.06"
Silvadene ,Silver Sulfadiazine ,1,"$61,636.36","327,394","2,897","2,159",$0.19,$21.28,$28.55
Silver Sulfadiazine ,Silver Sulfadiazine ,2,"$9,626,771.78","56,770,805","446,810","255,798",$0.17,$21.55,$37.63
Simbrinza ,Brinzolamide/Brimonidine Tart ,1,"$42,735,477.17","2,607,512","271,895","65,817",$16.39,$157.18,$649.31
Simcor ,Niacin/Simvastatin ,1,"$1,023,635.62","181,597","3,441","1,967",$5.53,$297.48,$520.40
Simponi ,Golimumab ,1,"$111,914,458.19","16,317","24,480","3,549","$7,195.58","$4,571.67","$31,534.08"
Simponi Aria ,Golimumab ,1,"$5,836,740.62","15,744","1,076",292,$370.73,"$5,424.48","$19,988.84"
Simvastatin ,Simvastatin ,17,"$226,590,478.54","1,621,407,998","27,488,417","6,079,667",$0.14,$8.24,$37.27
Sinemet 10-100 ,Carbidopa/Levodopa ,1,"$41,564.48","40,765",291,104,$1.02,$142.83,$399.66
Sinemet 25-100 ,Carbidopa/Levodopa ,1,"$1,474,491.29","1,259,249","5,285","1,007",$1.17,$279.00,"$1,464.24"
Sinemet 25-250 ,Carbidopa/Levodopa ,1,"$135,425.82","91,227",580,103,$1.48,$233.49,"$1,314.81"
Sinemet Cr ,Carbidopa/Levodopa ,1,"$736,237.38","385,603","2,487",459,$1.97,$296.03,"$1,604.00"
Single Use Swab ,Alcohol Antiseptic Pads ,1,"$1,961,085.89","57,575,930","349,423","146,427",$0.03,$5.61,$13.39
Singulair ,Montelukast Sodium ,1,"$11,836,743.84","1,739,639","35,610","7,303",$6.80,$332.40,"$1,620.81"
Sirolimus ,Sirolimus ,3,"$18,489,819.73","1,746,122","25,264","4,463",$10.84,$731.86,"$4,142.91"
Sivextro ,Tedizolid Phosphate ,1,"$3,175,124.09","10,181",847,533,$311.87,"$3,748.67","$5,957.08"
Skelaxin ,Metaxalone ,1,"$1,317,976.02","178,108","1,908",503,$7.40,$690.76,"$2,620.23"
Sklice ,IVermectin ,1,"$195,645.47","78,904",598,455,$2.48,$327.17,$429.99
Sodium Acetate ,Sodium Acetate ,1,"$4,606.45","186,021",130,18,$0.02,$35.43,$255.91
Sodium Bicarbonate ,Sodium Bicarbonate ,3,"$1,945,310.09","7,763,022","26,704","4,461",$0.25,$72.85,$436.07
Sodium Chloride ,0.9 % Sodium Chloride ,3,"$5,253,739.03","454,056,992","205,203","74,869",$0.02,$25.60,$70.17
Sodium Chloride ,Sodium Chloride ,2,"$25,385.16","329,965",503,67,$0.08,$50.47,$378.88
Sodium Chloride ,Sodium Chloride 0.45 % ,3,"$617,752.11","102,376,797","29,898","14,715",$0.01,$20.66,$41.98
Sodium Chloride ,Sodium Chloride 3 % ,1,"$6,982.17","651,720",142,20,$0.01,$49.17,$349.11
Sodium Chloride ,Sodium Chloride For Inhalation ,2,"$89,973.25","1,315,647","4,590","1,610",$0.06,$19.60,$55.88
Sodium Chloride ,Sodium Chloride Irrig Solution ,3,"$1,638,284.00","295,394,494","103,009","40,823",$0.01,$15.90,$40.13
Sodium Citrate & Citric Acid ,Citric Acid/Sodium Citrate ,1,"$51,466.16","2,226,343","2,037",626,$0.02,$25.27,$82.21
Sodium Phenylbutyrate ,Sodium Phenylbutyrate ,1,"$1,350,686.14","79,530",174,20,$16.98,"$7,762.56","$67,534.31"
Sodium Phosphate ,"Sodium Phos,M-Basic-D-Basic ",1,"$12,029.01","126,898",139,41,$0.09,$86.54,$293.39
Sodium Polystyrene Sulfonate ,Sodium Polystyrene Sulfonate ,6,"$5,004,510.15","31,298,510","68,894","39,656",$0.16,$72.64,$126.20
Solaraze ,Diclofenac Sodium ,1,"$117,544.81","10,060",85,56,$11.68,"$1,382.88","$2,099.01"
Soliris ,Eculizumab ,1,"$21,114,594.56","99,660",755,60,$211.87,"$27,966.35","$351,909.91"
Solodyn ,Minocycline HCl ,1,"$1,081,284.86","31,560",864,304,$34.27,"$1,251.49","$3,556.86"
Soltamox ,Tamoxifen Citrate ,1,"$217,029.75","62,250",226,39,$3.49,$960.31,"$5,564.87"
Solu-Cortef ,Hydrocortisone Sod Succinate ,1,"$28,446.70","23,687","1,001",487,$1.20,$28.42,$58.41
Solu-Cortef ,Hydrocortisone Sodium Succ/PF ,1,"$204,228.01","52,018","3,881","1,685",$3.98,$52.62,$121.20
Solu-Medrol ,Methylprednisolone Sod Succ ,1,"$110,317.19","84,905","1,760",665,$1.46,$62.68,$165.89
Solu-Medrol ,Methylprednisolone Sod Succ/PF ,2,"$351,040.54","169,236","11,582","6,149",$2.78,$30.31,$57.09
Soma ,Carisoprodol ,1,"$1,888,927.70","204,359","2,022",413,$9.20,$934.19,"$4,573.67"
Somatuline Depot ,Lanreotide Acetate ,1,"$18,583,088.99","1,358","2,936",427,"$14,611.25","$6,329.39","$43,520.11"
Somavert ,PEGvisomant ,1,"$21,321,917.61","65,721","1,925",234,$325.98,"$11,076.32","$91,119.31"
Sonata ,Zaleplon ,1,"$318,212.43","41,876",855,255,$7.59,$372.18,"$1,247.89"
Soolantra ,IVermectin ,1,"$4,142,148.01","421,099","12,559","7,192",$9.84,$329.82,$575.94
Soriatane ,Acitretin ,1,"$1,651,757.37","35,419",863,276,$47.10,"$1,913.97","$5,984.63"
Sorilux ,Calcipotriene ,1,"$146,693.71","13,861",145,73,$10.58,"$1,011.68","$2,009.50"
Sorine ,Sotalol HCl ,1,"$3,434.17","16,381",192,74,$0.21,$17.89,$46.41
Sotalol ,Sotalol HCl ,5,"$25,277,605.79","120,475,394","1,257,769","244,104",$0.21,$20.10,$103.55
Sotalol Af ,Sotalol HCl ,2,"$2,768,815.45","8,248,310","82,001","20,786",$0.34,$33.77,$133.21
Sovaldi ,Sofosbuvir ,1,"$932,677,561.90","928,183","33,332","10,431","$1,004.84","$27,981.45","$89,414.01"
Spiriva ,Tiotropium Bromide ,1,"$1,819,084,753.80","164,588,567","4,153,691","903,652",$11.05,$437.94,"$2,013.04"
Spiriva Respimat ,Tiotropium Bromide ,1,"$306,707,996.57","4,027,074","778,741","223,881",$76.21,$393.85,"$1,369.96"
Spironolactone ,Spironolactone ,12,"$63,362,222.50","314,794,218","5,754,724","1,234,549",$0.20,$11.01,$51.32
Spironolactone-HCTZ ,Spironolact/Hydrochlorothiazid ,4,"$15,587,943.11","16,919,150","295,754","68,224",$0.92,$52.71,$228.48
Sporanox ,Itraconazole ,1,"$3,612,583.88","1,731,946","2,476",644,$2.87,"$1,459.04","$5,609.60"
Sprintec ,Norgestimate-Ethinyl Estradiol ,1,"$595,808.80","1,440,600","38,958","8,005",$0.41,$15.29,$74.43
Sprycel ,Dasatinib ,1,"$321,853,864.85","1,113,801","33,918","4,530",$299.73,"$9,489.18","$71,049.42"
Sps ,Sodium Polystyrene Sulfon/Sorb ,1,"$4,418,551.41","32,845,076","81,531","39,204",$0.13,$54.19,$112.71
Sronyx ,Levonorgestrel-Ethin Estradiol ,1,"$49,013.08","88,512","2,209",564,$0.55,$22.19,$86.90
Ssd ,Silver Sulfadiazine ,1,"$4,327,469.99","29,307,863","223,969","147,034",$0.15,$19.32,$29.43
Stalevo 100 ,Carbidopa/Levodopa/Entacapone ,1,"$1,509,886.07","246,448","1,677",295,$6.13,$900.35,"$5,118.26"
Stalevo 125 ,Carbidopa/Levodopa/Entacapone ,1,"$557,868.17","89,891",670,117,$6.21,$832.64,"$4,768.10"
Stalevo 150 ,Carbidopa/Levodopa/Entacapone ,1,"$1,392,346.05","225,496","1,484",268,$6.17,$938.24,"$5,195.32"
Stalevo 200 ,Carbidopa/Levodopa/Entacapone ,1,"$1,257,119.14","203,715","1,370",243,$6.17,$917.61,"$5,173.33"
Stalevo 50 ,Carbidopa/Levodopa/Entacapone ,1,"$267,061.95","43,892",304,76,$6.08,$878.49,"$3,513.97"
Stalevo 75 ,Carbidopa/Levodopa/Entacapone ,1,"$334,180.21","53,180",377,69,$6.28,$886.42,"$4,843.19"
Starlix ,Nateglinide ,1,"$697,298.23","236,081","1,782",372,$2.95,$391.30,"$1,874.46"
Stavudine ,Stavudine ,3,"$401,432.76","327,898","5,314",715,$1.23,$75.54,$561.44
Stelara ,Ustekinumab ,1,"$264,877,321.01","15,479","20,154","6,616","$17,205.68","$13,142.67","$40,035.87"
Stendra ,Avanafil ,1,"$17,693.74",456,68,27,$38.80,$260.20,$655.32
Sterile Pads ,Gauze Bandage ,1,$910.93,"7,485",88,38,$0.12,$10.35,$23.97
Stimate ,Desmopressin Acetate ,1,"$582,627.27","2,176",727,471,$267.75,$801.41,"$1,237.00"
Stiolto Respimat ,Tiotropium Br/Olodaterol HCl ,1,"$56,534,441.06","722,536","152,007","48,682",$78.24,$371.92,"$1,161.30"
Stivarga ,Regorafenib ,1,"$76,009,991.50","466,946","6,447","2,241",$162.78,"$11,789.98","$33,917.89"
Strattera ,Atomoxetine HCl ,1,"$69,963,098.57","5,290,886","142,365","23,859",$13.28,$491.43,"$2,932.36"
Streptomycin Sulfate ,Streptomycin Sulfate ,1,"$17,989.26","5,117",144,47,$3.52,$124.93,$382.75
Striant ,Testosterone ,1,"$184,023.91","19,505",278,88,$9.43,$661.96,"$2,091.18"
Stribild ,Elviteg/Cobi/Emtric/Tenofo Dis ,1,"$259,593,187.64","2,777,067","90,004","13,075",$93.48,"$2,884.24","$19,854.16"
Striverdi Respimat ,Olodaterol HCl ,1,"$2,122,565.53","52,131","8,917","2,811",$40.72,$238.04,$755.09
Stromectol ,IVermectin ,1,"$155,557.56","30,464","3,893","2,968",$5.11,$39.96,$52.41
Suboxone ,Buprenorphine HCl/Naloxone HCl ,1,"$193,815,120.12","26,138,432","626,156","58,765",$7.49,$309.53,"$3,298.14"
Subsys ,Fentanyl ,1,"$125,789,787.59","1,186,637","9,212","1,795",$99.63,"$13,654.99","$70,077.88"
Sucraid ,Sacrosidase ,1,"$1,663,710.72","51,684",209,64,$32.19,"$7,960.34","$25,995.48"
Sucralfate ,Sucralfate ,6,"$37,678,701.57","164,989,202","1,538,742","512,794",$0.23,$24.49,$73.48
Sular ,Nisoldipine ,1,"$980,886.78","65,783","1,138",212,$14.91,$861.94,"$4,626.82"
Sulfacetamide Sodium ,Sulfacetamide Sodium ,6,"$3,787,811.57","2,663,866","79,546","65,364",$2.21,$47.62,$57.95
Sulfacetamide-Prednisolone ,Sulfacetamide/Prednisolone Sp ,2,"$227,835.85","96,991","12,495","7,956",$2.35,$18.23,$28.64
Sulfadiazine ,Sulfadiazine ,1,"$943,334.91","282,538","2,160",667,$3.34,$436.73,"$1,414.30"
Sulfamethoxazole-Trimethoprim ,Sulfamethoxazole/Trimethoprim ,13,"$29,908,758.04","110,461,988","4,953,075","3,219,995",$0.27,$6.04,$9.29
Sulfamylon ,Mafenide Acetate ,1,"$77,144.92","75,108",606,411,$1.03,$127.30,$187.70
Sulfasalazine ,Sulfasalazine ,3,"$13,049,373.59","72,226,165","397,750","90,009",$0.18,$32.81,$144.98
Sulfasalazine Dr ,Sulfasalazine ,2,"$7,000,635.14","27,488,569","143,328","35,267",$0.25,$48.84,$198.50
Sulfatrim ,Sulfamethoxazole/Trimethoprim ,1,"$132,179.32","783,257","2,456","1,776",$0.17,$53.82,$74.43
Sulindac ,Sulindac ,7,"$4,537,048.55","19,068,338","267,656","89,385",$0.24,$16.95,$50.76
Sumatriptan ,Sumatriptan ,1,"$8,184,468.52","195,731","24,531","8,798",$41.82,$333.64,$930.26
Sumatriptan Succinate ,Sumatriptan Succinate ,13,"$61,066,401.39","15,056,799","1,333,769","331,820",$8.99,$45.78,$184.03
Sumavel Dosepro ,Sumatriptan Succinate ,1,"$4,126,001.21","13,040","2,614",750,$316.41,"$1,578.42","$5,501.33"
Suprax ,Cefixime ,1,"$3,455,869.35","139,618","13,257","10,359",$24.26,$260.68,$333.61
Suprep ,"Sodium, Potassium,Mag Sulfates ",1,"$54,354,477.45","232,474,108","655,432","641,690",$0.23,$82.93,$84.71
Sure Comfort ,"Pen Needle, Diabetic ",1,"$4,098,939.38","14,574,317","117,527","40,343",$0.28,$34.88,$101.60
Sure Comfort ,"Syring-Needl,Disp,Insul,0.3 Ml ",1,"$951,934.16","3,612,973","36,631","12,646",$0.26,$25.99,$75.28
Sure Comfort ,"Syringe And Needle,Insulin,1ml ",1,"$2,486,631.90","9,531,670","97,188","29,141",$0.26,$25.59,$85.33
Sure Comfort ,"Syringe-Needle,Insulin,0.5 Ml ",1,"$3,060,361.15","11,382,752","123,163","35,083",$0.27,$24.85,$87.23
Sure Comfort Alcohol ,Alcohol Antiseptic Pads ,1,"$109,803.28","1,440,836","13,396","4,096",$0.08,$8.20,$26.81
Sure-Fine Pen Needles ,"Pen Needle, Diabetic ",1,"$14,659.13","46,180",444,146,$0.32,$33.02,$100.41
Sure-Ject Insulin Syringe ,"Syring-Needl,Disp,Insul,0.3 Ml ",1,"$13,886.57","40,840",563,118,$0.34,$24.67,$117.68
Sure-Ject Insulin Syringe ,"Syringe And Needle,Insulin,1ml ",1,"$9,997.47","32,871",382,120,$0.30,$26.17,$83.31
Sure-Ject Insulin Syringe ,"Syringe-Needle,Insulin,0.5 Ml ",1,"$3,421.25","12,566",164,65,$0.27,$20.86,$52.63
Sure-Prep Alcohol Prep Pads ,Alcohol Antiseptic Pads ,1,"$15,620.53","126,954","1,116",321,$0.12,$14.00,$48.66
Surmontil ,Trimipramine Maleate ,1,"$658,095.28","107,207","1,291",207,$6.39,$509.76,"$3,179.20"
Sustiva ,Efavirenz ,1,"$64,816,153.85","2,175,204","66,538","7,811",$30.51,$974.12,"$8,298.06"
Sutent ,Sunitinib Malate ,1,"$183,064,144.69","520,197","18,552","3,883",$391.05,"$9,867.62","$47,145.03"
Syeda ,Ethinyl Estradiol/Drospirenone ,1,"$120,287.95","80,332","2,051",461,$1.50,$58.65,$260.93
Sylatron ,PEGinterferon Alfa-2b ,1,"$3,916,847.80","2,043",517,74,"$1,915.29","$7,576.11","$52,930.38"
